# Google_Product_Taxonomy_Version: 2013-12-12
Adulte
Adulte > Érotisme
Adulte > Érotisme > Articles érotiques comestibles
Adulte > Érotisme > DVD et vidéos érotiques
Adulte > Érotisme > Jeux érotiques
Adulte > Érotisme > Kits de pole dance
Adulte > Érotisme > Lingerie érotique
Adulte > Érotisme > Livres érotiques
Adulte > Érotisme > Livres érotiques > Bandes dessinées érotiques
Adulte > Érotisme > Magazines érotiques
Adulte > Érotisme > Sex toys
Alimentation, boissons et tabac
Alimentation, boissons et tabac > Aliments
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Assortiments de chocolats
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Barres chocolatées
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Bonbons
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Bonbons en gélatine
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Bonbons tendres aux fruits
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Bonbons à la menthe
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Bonbons à la menthe enrobés de chocolat
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Boules de gomme
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Candy Corn
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Caramels
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Croquants
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Friandises
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Fruits enrobés de chocolat
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Gâteaux au chocolat fourrés à la beurre de cacahuète
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Jelly Beans
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Nougat
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Pâte de guimauve
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Réglisse
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Sucettes
Alimentation, boissons et tabac > Aliments > Bonbons et chewing-gums > Bonbons et chocolat > Sucres d'orge
